Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Italy,354.4,362.6,378.2,383.8,403.2,403.8,407.2,403.6,396.5,393.4,413.1,407.9,414.5,426.3,427.2,434.4,429.5,433.0,450.8,468.3,470.2,467.1,458.0,442.5,391.5,397.1,388.5,371.0,341.4,318.8,334.4,331.4,335.5,336.1,328.6,286.3,314.4,317.7
Latvia,25.2,23.3,20.3,19.4,18.8,18.4,17.6,12.8,10.8,9.9,9.1,9.2,8.3,8.0,7.4,6.9,7.7,7.9,7.9,8.5,8.7,8.4,8.8,8.6,7.9,9.2,8.3,8.0,8.0,7.7,7.9,8.2,8.0,7.8,8.4,7.1,7.5,7.0
Lithuania,37.4,33.6,36.0,35.4,36.2,36.1,39.0,20.7,16.4,15.4,14.3,14.8,14.1,14.7,12.6,10.9,12.1,11.6,11.8,12.2,13.2,13.4,13.2,13.3,12.2,13.2,12.4,12.4,11.7,11.0,11.3,11.7,11.9,12.5,12.4,12.1,12.2,11.6
Luxembourg,9.4,9.1,8.3,8.5,9.9,10.3,11.0,11.0,11.1,10.6,8.7,8.9,8.5,8.0,8.5,9.0,9.7,10.5,11.0,12.5,12.8,12.5,12.0,11.9,11.4,12.0,11.7,11.4,10.9,10.5,10.1,10.0,10.3,10.8,10.9,9.0,9.7,8.7
Netherlands,172.7,174.9,182.5,187.8,188.4,192.0,199.7,200.2,205.1,202.3,208.6,219.6,217.2,218.1,215.1,216.2,225.9,226.0,225.4,231.4,233.1,231.6,229.1,227.2,217.7,229.9,220.9,215.7,211.4,202.5,209.9,208.0,204.5,198.0,193.6,172.8,177.0,169.1
North Macedonia,-,-,-,-,-,8.8,8.5,8.7,9.1,8.5,8.4,9.6,8.6,9.9,9.1,8.7,8.8,8.3,9.0,8.7,9.1,9.1,9.6,9.4,8.8,8.6,9.4,9.0,8.0,7.5,7.2,7.1,7.5,7.1,8.1,6.6,6.7,7.2
Norway,28.7,31.1,30.2,29.8,30.2,29.0,27.3,28.9,29.8,31.6,31.6,34.3,35.5,36.5,36.2,33.9,36.3,35.7,37.1,37.7,36.6,36.9,36.5,36.1,36.2,37.4,37.1,36.8,37.0,36.1,36.0,35.1,35.1,35.3,34.3,32.8,33.1,32.1
Poland,457.7,469.4,485.6,474.8,456.6,373.5,368.4,353.1,352.2,334.3,341.3,355.0,350.5,330.9,323.8,299.8,297.9,294.4,303.5,301.9,307.2,320.7,317.5,319.5,305.3,323.8,324.0,308.1,310.4,293.3,293.3,306.0,315.4,320.0,301.8,283.6,309.9,295.7
Portugal,27.4,30.9,31.6,32.6,41.0,39.1,42.1,46.0,45.2,45.6,53.0,50.4,50.9,56.7,62.2,61.3,60.2,63.4,59.9,62.1,64.6,59.6,58.4,57.5,56.9,51.5,51.4,50.7,49.3,49.6,53.1,52.4,57.3,54.3,50.3,40.7,39.3,41.8
Romania,172.5,178.0,186.2,188.1,189.4,178.2,143.3,125.1,122.2,117.9,127.6,126.2,115.1,101.7,86.3,88.9,90.9,94.1,98.2,99.6,95.6,101.3,97.8,95.6,80.6,78.2,85.1,81.7,69.8,71.1,71.9,69.5,72.9,73.4,71.7,64.4,68.8,65.7
Slovakia,58.5,55.7,56.8,57.4,53.4,54.8,48.5,46.0,43.2,40.1,40.8,40.9,39.5,39.1,38.3,36.3,39.1,38.6,39.1,38.3,39.2,38.1,35.8,36.8,33.7,36.2,34.0,32.5,32.6,30.0,30.4,30.8,32.9,32.3,30.0,27.8,31.2,30.3
Slovenia,-,-,-,-,-,13.3,12.5,12.3,13.0,13.1,13.9,14.7,15.2,14.7,14.3,14.0,14.7,14.9,14.8,15.0,15.2,15.6,15.7,16.8,15.0,15.2,15.2,14.7,14.1,12.6,12.7,13.6,13.9,13.9,13.3,11.9,12.1,12.1
Spain,194.4,196.9,203.4,196.5,217.2,214.6,220.4,241.0,226.0,234.1,247.9,244.2,263.6,274.3,298.8,309.3,314.0,332.3,340.1,362.1,374.9,369.4,380.5,354.8,316.3,300.1,308.5,306.3,274.5,271.9,287.9,280.6,298.3,293.0,276.2,223.3,243.6,260.9
Sweden,79.2,84.5,73.7,69.1,66.4,67.4,59.7,61.5,61.0,64.2,61.5,66.8,61.3,68.4,65.3,57.7,59.2,59.8,64.2,61.9,60.5,62.1,58.8,56.1,53.3,56.8,51.9,49.0,47.9,46.0,46.3,46.4,45.4,44.6,47.1,42.7,39.9,40.8
Switzerland,41.3,44.3,41.9,41.7,40.4,43.3,44.2,44.6,42.2,43.4,40.9,42.5,44.2,44.7,44.2,43.1,46.2,43.9,43.2,43.3,44.2,45.0,41.0,43.8,44.2,42.1,40.1,41.4,43.6,38.7,39.5,38.0,38.8,37.2,38.1,32.7,33.4,32.9
Turkey,100.4,109.0,118.5,115.9,129.1,136.2,139.6,143.7,148.3,147.0,161.1,175.2,185.0,186.9,187.6,205.7,186.1,196.9,208.9,216.4,224.8,248.0,272.8,276.3,275.3,276.3,298.8,314.4,303.3,335.1,341.4,359.1,397.1,390.8,386.7,377.2,412.6,409.7
Ukraine,694.4,701.8,709.9,686.2,652.9,761.9,708.1,603.6,519.9,431.7,423.1,366.5,352.7,341.0,335.0,335.9,329.3,329.3,336.6,317.5,315.5,324.4,327.5,317.2,272.4,288.7,303.2,299.1,286.5,246.8,195.1,215.6,187.9,198.7,185.5,171.5,167.7,108.8
United Kingdom,572.6,590.8,594.3,594.3,584.3,595.2,605.5,588.6,574.6,561.4,558.8,579.4,559.9,560.2,551.1,566.6,577.3,557.8,567.9,575.7,580.2,583.1,572.4,562.5,513.5,527.8,491.1,509.4,497.5,456.2,439.1,415.3,404.3,396.4,381.3,320.9,341.4,344.6
Other Europe,169.8,175.8,171.7,177.7,172.6,131.9,109.9,96.8,84.1,65.9,69.4,72.9,82.9,85.8,73.8,84.6,89.4,95.0,101.8,107.6,104.4,108.8,110.2,111.2,111.6,113.3,121.0,112.9,113.4,102.6,112.0,117.0,120.8,119.8,119.8,118.0,114.2,116.1
Azerbaijan,50.4,54.2,52.2,52.2,52.9,54.4,52.0,44.1,41.5,37.9,35.9,29.3,27.9,27.9,27.3,28.6,26.3,25.9,28.0,30.8,33.5,33.3,30.7,30.2,25.7,24.6,29.1,30.2,30.7,31.4,33.9,33.4,32.4,33.8,34.4,35.2,37.6,37.5
Belarus,89.6,102.3,102.7,103.4,99.3,92.6,93.2,88.3,75.3,62.7,55.2,56.7,57.2,55.5,53.5,52.7,50.3,50.6,49.6,56.2,57.3,59.6,58.4,61.2,59.2,62.4,59.3,60.8,60.2,59.2,54.9,55.0,55.7,60.6,60.9,56.0,57.1,55.9
Kazakhstan,231.2,236.4,241.0,248.6,242.1,240.6,238.3,236.3,208.5,192.8,168.9,147.0,129.9,123.0,114.2,101.5,117.7,119.7,131.8,141.8,144.4,155.6,170.3,185.5,166.7,178.6,202.0,212.0,211.9,219.0,176.7,199.3,214.0,221.8,220.5,202.8,217.2,230.2
Russian Federation,2172.4,2210.8,2268.3,2291.8,2290.1,2233.9,2167.9,2072.6,1895.2,1726.3,1616.4,1562.9,1463.7,1445.3,1445.8,1452.8,1466.1,1465.7,1494.7,1490.0,1465.7,1536.6,1528.3,1555.4,1446.5,1492.4,1558.8,1580.6,1548.8,1551.4,1520.8,1531.1,1518.5,1575.8,1559.2,1459.8,1584.2,1457.5
Turkmenistan,33.2,39.2,39.0,39.2,40.3,34.7,35.9,34.1,26.7,28.4,23.6,33.8,26.3,32.7,31.6,26.9,33.1,28.7,38.9,38.5,39.1,39.4,38.5,32.3,50.3,54.3,59.9,65.2,58.3,60.5,71.5,70.9,70.1,77.6,76.4,89.7,95.2,97.2
Uzbekistan,95.6,94.7,96.8,97.6,102.2,106.4,104.9,99.4,107.6,100.4,103.8,106.9,105.9,105.6,119.7,122.1,122.2,125.3,113.9,114.0,113.1,106.7,114.2,108.2,105.7,106.1,113.4,109.8,111.1,114.4,108.8,104.1,106.9,109.7,109.5,111.2,117.6,122.2
Other CIS,79.3,78.2,80.0,82.6,82.2,83.9,67.0,52.0,35.7,25.2,20.9,21.7,21.2,21.3,17.4,16.0,16.0,16.3,16.4,18.3,19.5,20.3,22.8,24.4,23.6,23.1,24.6,26.6,25.5,27.4,28.4,29.0,29.4,33.1,31.2,31.3,33.2,32.4
Iran,153.8,143.8,152.7,154.4,169.1,181.8,201.5,217.8,202.7,227.4,236.6,251.1,259.8,267.9,289.5,304.9,323.9,350.9,355.0,387.1,409.1,443.5,469.5,488.6,493.6,504.4,516.2,522.0,543.0,552.6,547.2,567.4,575.9,601.7,626.7,653.0,656.2,667.4
Iraq,35.4,40.7,45.7,52.4,59.8,54.8,36.4,56.7,76.5,87.0,85.9,86.4,103.9,76.7,55.2,80.1,89.8,84.8,74.9,80.4,75.7,73.0,71.9,83.6,82.0,92.4,94.2,103.5,115.2,116.6,116.8,131.0,148.4,148.2,151.8,129.8,137.8,153.1
Israel,26.5,27.7,29.5,31.7,33.5,34.7,35.4,41.4,44.5,46.8,52.2,55.2,59.3,61.7,63.7,60.2,61.2,62.8,64.6,64.6,64.9,65.6,67.4,68.3,66.0,67.9,68.6,74.2,66.9,64.1,66.8,66.1,66.8,67.0,69.2,63.0,62.9,65.8
Kuwait,28.7,32.6,30.3,33.6,35.8,21.6,11.7,19.8,22.8,26.9,33.8,33.4,34.5,41.7,43.8,46.6,47.4,51.1,62.1,70.0,77.3,73.5,71.0,76.8,78.6,87.4,88.9,90.7,93.3,95.1,98.3,96.4,98.2,100.8,91.1,85.1,89.5,95.4
Oman,7.4,8.1,8.3,8.6,9.0,10.7,14.6,14.3,13.7,12.6,14.7,14.9,15.0,15.3,17.7,24.4,27.2,29.6,30.4,28.3,31.7,34.8,35.2,41.5,40.9,48.1,51.6,57.0,65.2,64.7,69.0,69.4,72.2,74.9,74.7,69.8,76.5,80.6
Qatar,10.8,11.6,11.3,12.1,12.7,12.9,15.2,24.0,25.7,26.2,26.4,19.6,21.1,23.0,25.9,22.6,21.6,24.5,27.3,33.6,37.7,40.0,45.9,52.1,53.4,62.3,74.2,89.2,99.6,109.6,123.4,123.1,115.7,119.0,124.3,107.0,114.7,110.8
Saudi Arabia,161.5,158.8,168.3,173.2,168.8,202.3,212.1,208.6,213.0,249.5,242.1,246.5,250.9,265.0,269.8,277.0,285.8,293.8,311.6,341.8,343.7,361.3,378.7,409.7,422.0,461.3,486.0,516.6,526.0,565.1,601.8,634.5,631.2,612.5,577.4,558.0,571.7,612.5
United Arab Emirates,47.7,57.9,64.4,72.1,80.3,81.7,100.2,97.5,101.4,110.6,114.6,117.0,121.7,124.1,124.5,123.6,124.2,132.4,142.1,152.5,159.2,168.1,184.8,210.6,204.4,213.8,220.8,231.9,247.1,243.0,265.2,275.9,267.2,261.7,266.8,248.5,275.1,292.5
Other Middle East,60.9,61.4,64.8,67.5,67.9,72.4,78.0,80.6,82.6,86.7,90.6,93.9,98.1,106.1,108.3,108.9,112.9,115.8,120.8,125.3,140.8,145.1,149.0,157.1,158.3,155.5,148.8,141.1,135.4,135.0,124.4,120.2,125.5,122.7,121.0,112.9,117.0,121.9
Algeria,57.6,61.0,62.7,66.9,65.1,65.4,65.3,66.6,62.1,62.8,65.2,64.3,61.8,64.4,64.4,62.6,64.9,67.9,71.0,74.3,76.9,80.8,85.2,90.6,95.7,94.6,100.6,108.9,115.4,123.6,129.0,127.7,130.7,137.3,142.4,132.7,143.9,141.4
Egypt,73.5,74.8,79.8,81.1,84.9,86.6,87.1,85.6,84.4,88.2,93.6,99.7,103.7,108.3,114.0,122.0,119.9,125.2,131.9,140.1,144.2,150.0,159.4,168.1,176.1,184.2,192.5,199.6,201.3,200.0,203.0,215.4,220.3,216.6,208.7,203.3,219.5,235.5
Morocco,17.2,17.8,18.2,19.2,21.0,21.3,21.5,24.2,25.2,27.3,27.1,27.6,28.4,29.9,31.5,31.6,34.4,35.4,34.7,40.1,43.9,44.6,43.9,48.7,45.3,49.2,53.0,54.1,54.4,56.6,56.8,57.2,60.2,61.8,67.9,62.1,69.6,67.1
South Africa,297.1,299.4,306.8,330.5,312.5,324.9,319.2,327.2,329.6,340.3,351.2,357.3,365.1,357.6,370.1,371.6,376.5,366.6,399.8,439.1,421.7,430.9,441.0,476.0,474.4,474.9,466.3,462.1,462.8,467.2,455.1,473.9,470.0,451.9,474.1,446.5,438.7,420.4
Eastern Africa,37.4,38.9,41.2,44.1,44.2,50.1,46.5,47.0,51.8,51.0,51.3,50.4,53.9,53.4,53.5,51.2,54.7,53.6,53.4,58.7,61.6,63.0,65.4,64.5,69.5,74.9,78.5,81.6,90.4,101.6,105.9,105.0,114.5,119.3,118.8,110.1,119.7,123.7
Middle Africa,14.5,14.0,14.4,15.4,15.3,14.3,13.1,13.1,13.3,13.0,13.0,13.1,13.5,12.6,13.5,14.6,15.0,16.1,17.8,21.8,20.9,23.6,25.9,28.9,31.4,35.3,37.3,41.3,46.6,49.2,49.0,48.0,44.7,45.4,46.0,41.5,44.9,41.2
Western Africa,47.3,44.7,47.0,50.2,52.0,50.6,52.5,58.1,58.8,58.3,59.6,64.4,64.9,68.5,68.1,71.2,76.5,83.8,82.5,84.1,88.6,81.2,87.8,94.5,88.5,94.0,103.2,106.8,108.8,109.9,126.1,130.4,140.1,157.3,163.0,162.7,174.9,179.1
Other Northern Africa,34.5,34.4,37.3,37.7,39.8,39.0,39.2,39.8,41.5,46.3,49.6,51.5,52.8,54.9,55.1,58.5,59.6,60.4,61.7,65.3,67.6,70.0,67.5,69.3,74.1,77.8,57.5,70.3,75.2,74.8,71.6,73.4,73.2,73.8,73.0,65.8,81.1,82.9
Other Southern Africa,2.1,2.4,2.4,2.7,3.0,6.2,6.2,6.9,7.0,7.4,7.6,7.3,7.9,8.6,8.8,8.9,9.1,9.0,9.0,9.1,9.6,9.5,9.8,10.3,10.8,9.5,10.9,12.3,12.4,13.7,13.7,13.6,14.5,15.1,14.4,12.3,13.9,15.4
Australia,232.8,237.7,245.6,257.1,270.3,274.9,274.8,278.7,283.3,293.3,307.7,318.1,327.9,337.4,353.0,355.1,356.8,363.4,369.8,382.9,382.9,398.4,406.7,417.4,408.8,402.0,407.4,398.7,395.6,399.2,407.6,406.2,404.5,402.7,407.2,377.0,370.4,376.3
Bangladesh,8.9,9.7,10.6,10.9,11.8,12.8,12.0,13.1,14.1,14.8,18.2,18.4,20.8,21.1,21.9,23.5,27.7,29.5,30.6,32.8,36.4,40.4,40.8,44.1,49.0,50.5,56.3,61.4,64.6,67.1,84.2,84.0,88.8,96.0,108.0,102.4,107.1,113.9
China,1821.7,1903.6,2048.1,2196.8,2295.0,2308.8,2440.0,2562.8,2769.6,2921.4,3009.2,3156.7,3142.3,3139.8,3268.5,3328.0,3489.7,3809.3,4494.1,5317.2,6079.3,6660.0,7217.1,7356.6,7685.0,8121.7,8793.5,8977.6,9214.1,9235.5,9171.3,9014.6,9270.3,9610.7,9933.7,10130.9,10563.5,10550.2
China Hong Kong SAR,29.6,31.2,34.8,40.2,42.8,41.3,43.0,50.1,55.1,48.4,52.2,49.7,49.0,50.8,50.2,53.4,70.0,67.2,71.3,78.5,75.8,79.9,85.6,79.2,86.5,88.3,92.0,88.7,91.5,89.7,90.5,92.7,98.9,100.1,94.6,68.1,64.6,58.1
India,409.0,437.9,474.8,511.8,559.0,602.1,634.9,671.9,694.0,724.8,773.4,812.5,855.0,895.7,914.3,959.8,968.6,1008.6,1049.4,1112.1,1200.2,1251.9,1362.7,1462.0,1588.5,1640.0,1706.4,1825.5,1892.6,2042.1,2109.8,2207.2,2283.8,2381.7,2407.3,2237.5,2464.7,2595.8
Indonesia,86.5,90.8,98.8,104.1,113.8,132.4,143.2,157.0,169.1,176.6,193.4,205.6,230.5,228.5,247.0,264.1,286.8,294.6,332.1,323.0,333.0,352.2,383.2,378.8,388.4,422.4,454.0,470.1,442.6,451.0,467.7,462.1,481.2,520.0,562.7,512.9,519.6,692.0
